Location,rent_per_sqft
"DHA Phase 6, DHA Defence",333.3333333333333
"DHA 9 Town, DHA Defence",133.33333333333334
"DHA 9 Town, DHA Defence",111.11111111111111
"Askari Tower 2, DHA Defence Phase 2",122.22222222222224
"Gulberg, Lahore",266.6666666666667
"Garden Town, Lahore",277.77777777777777
"Garden Town, Lahore",311.1111111111111
"Gulberg, Lahore",333.3333333333333
"Gulberg, Lahore",333.3333333333333
"DHA Phase 7, DHA Defence",833.3333333333334
"PAF Falcon Complex, Gulberg",294.44444444444446
"DHA Phase 1 - Block N, DHA Phase 1",188.88888888888886
"Model Town, Lahore",185.1851851851852
"Model Town, Lahore",207.40740740740742
"MM Alam Road, Gulberg",222.22222222222223
"DHA 9 Town, DHA Defence",111.11111111111111
"Gulberg 3, Gulberg",592.5925925925926
"Bahria Town - Sector E, Bahria Town",186.66666666666666
"DHA Phase 7, DHA Defence",407.4074074074074
"LDA Avenue, Lahore",100.0
"LDA Avenue, Lahore",100.0
"LDA Avenue, Lahore",122.22222222222223
"DHA Phase 4, DHA Defence",229.62962962962962
"Model Town, Lahore",888.8888888888889
"Model Town, Lahore",192.59259259259258
"Model Town, Lahore",222.22222222222223
"Model Town, Lahore",207.40740740740742
"Model Town, Lahore",207.40740740740742
"DHA 9 Town - Block B, DHA 9 Town",140.74074074074073
"Central Park Housing Scheme, Lahore",88.88888888888889
"Penta Square By DHA Lahore, DHA Phase 5",322.22222222222223
"DHA Phase 1 - Block D, DHA Phase 1",281.48148148148147
"DHA Phase 7, DHA Defence",488.8888888888889
"DHA Defence Phase 2, DHA Defence",200.0
"DHA Phase 8 - Ex Air Avenue, DHA Phase 8",133.33333333333334
"DHA Phase 4, DHA Defence",191.11111111111111
"Model Town, Lahore",166.66666666666666
"DHA Phase 5, DHA Defence",711.1111111111111
"DHA Phase 8, DHA Defence",407.4074074074074
"DHA Defence Phase 2, DHA Defence",140.74074074074073
"DHA Phase 5, DHA Defence",333.3333333333333
"Muslim Town, Lahore",53.333333333333336
"DHA Phase 8 - Ex Park View, DHA Phase 8",
"State Life Housing Society, Lahore",150.0
"DHA Phase 1, DHA Defence",144.44444444444446
"Luxus Mall and Residency, Gulberg Greens - Block B",266.6666666666667
"DHA Phase 4, DHA Defence",213.33333333333334
"Gulberg Greens, Gulberg",266.6666666666667
"Gulberg, Lahore",592.5925925925926
"Emaar Crescent Bay, DHA Phase 8",488.88888888888897
"Gulberg 3, Gulberg",444.44444444444446
"Gulberg 2, Gulberg",380.95238095238096
"DHA Defence Phase 2, DHA Defence",118.51851851851852
"DHA Phase 4, DHA Defence",222.22222222222223
"DHA Phase 4, DHA Defence",177.77777777777777
"DHA Phase 5, DHA Defence",592.5925925925926
"DHA Defence Phase 2, DHA Defence",170.37037037037035
"Bukhari Commercial Area, DHA Phase 6",222.22222222222223
"DHA Phase 7, DHA Defence",311.1111111111111
"DHA Phase 6, DHA Defence",311.1111111111111
"Penta Square By DHA Lahore, DHA Phase 5",555.5555555555555
"DHA Phase 5, DHA Defence",222.22222222222223
"DHA Phase 3, DHA Defence",118.51851851851852
"DHA Phase 6, DHA Defence",382.22222222222223
"DHA Phase 6, DHA Defence",222.22222222222223
"DHA Phase 7 Extension, DHA Defence",144.44444444444446
"Bukhari Commercial Area, DHA Phase 6",333.3333333333333
"Ittehad Commercial Area, DHA Phase 6",144.44444444444446
"Nishat Commercial Area, DHA Phase 6",192.59259259259258
"Sui Gas Housing Society, Lahore",118.51851851851852
"Rehman Gardens, Lahore",111.11111111111111
"Gulberg 3, Gulberg",388.8888888888889
"DHA Phase 6, DHA Defence",262.22222222222223
"DHA Phase 8 - Zone A, DHA Phase 8",444.44444444444446
"DHA Phase 5, DHA Defence",888.8888888888889
"DHA Phase 2, DHA Defence",111.11111111111111
"Rehman Gardens, Lahore",148.14814814814815
"DHA Phase 3 - Block W, DHA Phase 3",177.77777777777777
"DHA 11 Rahbar Phase 1 - Block A, DHA 11 Rahbar Phase 1",177.77777777777777
"HBFC Housing Society, Lahore",140.74074074074073
