name,layer,lat,lon,weight
Jinnah Hospital Lahore,hospital,31.484605657965147,74.29721342281545,0.75
بشیر میموریل ٹرسٹ ہسپتال آنکھ,hospital,31.558120276987935,74.30869349798348,0.75
Al-Mansoor Pharmacy,hospital,31.505585947956927,74.2692119014831,0.75
THQ Manawan,hospital,31.591707825954092,74.45886783965737,0.75
Ghurki Hospital,hospital,31.589868520624844,74.50281284068966,0.75
Besic Health Unit Manhala,hospital,31.525903038808377,74.54389575153004,0.75
Pak Railway Academy,private_school,31.487514399999995,74.35933909999999,0.7
DPS Girls,private_school,31.4739484,74.4007125,0.7
DPS Sec Z Ph 3,private_school,31.4711759,74.3835941,0.7
Unnamed private_school,private_school,31.467169600000002,74.37075759999999,0.7
The Lhr ALMA,private_school,31.481464900000002,74.38662,0.7
Lhr Grammer,private_school,31.480923199999996,74.3909459,0.7
Boys College,private_school,31.491130499999997,74.384834,0.7
Girls Collage,private_school,31.462918299999995,74.39006769999999,0.7
Unnamed private_school,private_school,31.46312469999999,74.37480119999998,0.7
Unnamed private_school,private_school,31.50408759999999,74.3820277,0.7
Unnamed private_school,private_school,31.569304400000004,74.3740884,0.7
Beconhouse,private_school,31.479303899999998,74.36026319999999,0.7
Shofait Intl,private_school,31.4743722,74.27916379999999,0.7
Unnamed private_school,private_school,31.476576000000005,74.37625529999998,0.7
Unnamed private_school,private_school,31.475968200000008,74.374927,0.7
Junior Cadet School,private_school,31.429534500000003,74.2950525,0.7
Unnamed private_school,private_school,31.5129129,74.33736419999998,0.7
Unnamed private_school,private_school,31.5032098,74.2597746,0.7
Lacas,private_school,31.4713939,74.2814124,0.7
Unnamed private_school,private_school,31.4480732,74.2160241,0.7
Blessing Field School,private_school,31.4684546,74.3181592,0.7
ESNA FOUNDATION,private_school,31.5228645,74.33774629999999,0.7
Khalid Secondary School,private_school,31.488036799999993,74.3547964,0.7
Govt.Comprehensive Higher Secondary School,private_school,31.5845184,74.3549294,0.7
Fauji Foundation School,private_school,31.4989184,74.3957538,0.7
Divisional Public School (DPS),private_school,31.480830599999994,74.3275402,0.7
Saint Francis High School,private_school,31.5719221,74.3103828,0.7
Government High School for Girls,private_school,31.507542899999994,74.29851799999999,0.7
Government Junior Model School,private_school,31.5084256,74.29975719999999,0.7
Society Public School,private_school,31.5633279,74.38288,0.7
Unnamed private_school,private_school,31.563237699999995,74.3829279,0.7
Scope Centre,private_school,31.479515999999997,74.3076859,0.7
"The University of lahore, Raiwand Road Campus",private_school,31.462140899999998,74.24380809999998,0.7
Punjab University Centre for undergraduate studies,private_school,31.50215389999999,74.30583429999999,0.7
CMH Lahore Medical College,private_school,31.5386517,74.3707606,0.7
Beaconhouse school,private_school,31.476550200000005,74.37652979999999,0.7
Bridge accademy ,private_school,31.513509899999995,74.34503229999999,0.7
Ali Public School,private_school,31.5233495,74.31751029999998,0.7
Allied School - ZN Campus,private_school,31.523966999999992,74.3181677,0.7
LGS Paragon Campus,private_school,31.533445199999996,74.4525847,0.7
Kips College 30-A,private_school,31.47012339999999,74.3029275,0.7
Kips College 11-A,private_school,31.4675615,74.30641669999999,0.7
Al Qalam,private_school,31.563085500000003,74.3810512,0.7
Unnamed private_school,private_school,31.5649301,74.38794279999999,0.7
Punjab University Examination Halls,private_school,31.504943900000004,74.2939537,0.7
Islamia College Civil Lines LHR,private_school,31.573422799999992,74.3036652,0.7
Unnamed private_school,private_school,31.4969776,74.3036782,0.7
University Of Lahore Defence Road Campus,private_school,31.392415099999997,74.24310749999998,0.7
Pak public foundation school,private_school,31.559823500000004,74.2842001,0.7
Unnamed private_school,private_school,31.453062699999997,74.3151885,0.7
Unnamed private_school,private_school,31.570099100000004,74.3010008,0.7
"Institute of Railways, Griffin Ground, Mughalpura Lahore, Pakistan",private_school,31.563167200000002,74.3742618,0.7
Riphah International University,private_school,31.4485959,74.3155643,0.7
ISSAC,private_school,31.488318299999996,74.4217227,0.7
City District Government Girls High School (Managed by Lahore South East Rotary Club),private_school,31.435794599999994,74.3030527,0.7
St.Anthony's High School,private_school,31.559119400000004,74.3200421,0.7
Apwa School,private_school,31.54891989999999,74.3209863,0.7
Green Hall academy,private_school,31.5491597,74.3977969,0.7
Government Central Model High School Samanabad Lahore,private_school,31.533413999999997,74.302075,0.7
حارث کا گھر,private_school,31.436242999999994,74.2672016,0.7
Unnamed private_school,private_school,31.454577199999992,74.3993247,0.7
Corvit Lahore,private_school,31.514075,74.346275,0.7
Corvit Class Rooms,private_school,31.514840400000008,74.34739529999999,0.7
Punjab University College of Information Technology (PUCIT),private_school,31.478596599999996,74.26516949999998,0.7
"University of Sourh Asia , Raiwind Campus",private_school,31.4250952,74.23112809999999,0.7
Fazaia Intermediate College,private_school,31.518482800000005,74.3936913,0.7
Hajvery University Euro Campus,private_school,31.504258200000006,74.3582433,0.7
Unnamed private_school,private_school,31.5614789,74.3399888,0.7
Govt. High School for boys,private_school,31.5044955,74.275196,0.7
Govt. High School for girls,private_school,31.511684499999994,74.28455669999998,0.7
Worker Welfare School (Boys) Rana Town,private_school,31.680213,74.2768261,0.7
Government Boys High School,private_school,31.647124900000005,74.28389679999998,0.7
Hashmat School System,private_school,31.646558299999995,74.2828184,0.7
Govt. High School for boys,private_school,31.504495599999995,74.2751302,0.7
RPS. Muhafiz Town,private_school,31.451611099999997,74.2219253,0.7
Iqra Public School,private_school,31.452907999999987,74.21762629999999,0.7
"CDG Boys High School, Factory Area Shahdara",private_school,31.626028000000005,74.2889795,0.7
گورنمنٹ ہائی اسکول شاہدرہ,private_school,31.6226065,74.2925072,0.7
Muslim Ideal School,private_school,31.6260406,74.30476319999998,0.7
Bait-ur-Raffah Maktab Girls High School,private_school,31.613402799999985,74.2688567,0.7
The Oriel School,private_school,31.617402799999994,74.2807047,0.7
EFA School Naseem Campus,private_school,31.589600900000004,74.3040613,0.7
Farooqi Grammar School,private_school,31.587582799999996,74.3049209,0.7
Government Muslim Model School,private_school,31.57427470000001,74.3025874,0.7
Central Model School,private_school,31.5750055,74.30304279999999,0.7
Govt. Saleem Model High School,private_school,31.575455799999997,74.30695779999999,0.7
Al Karam High School,private_school,31.598992900000002,74.31704239999999,0.7
Govt Girls High School,private_school,31.596615700000005,74.3083603,0.7
Allied School Ravi Road Campus,private_school,31.596183699999994,74.30658750000002,0.7
Unnamed private_school,private_school,31.5931485,74.3074869,0.7
Government Model High School,private_school,31.486309,74.33021779999999,0.7
Govt. Junior Model School,private_school,31.483858399999992,74.3306726,0.7
DPS Boys Wing,private_school,31.480989600000004,74.32836929999999,0.7
DPS Girls Wing,private_school,31.480291899999994,74.3249929,0.7
Unnamed private_school,private_school,31.488638699999996,74.3227834,0.7
Beaconhouse School System Garden Town Campus,private_school,31.5056302,74.3293947,0.7
Allied School,private_school,31.504550000000002,74.329154,0.7
The City School,private_school,31.503840800000003,74.32907259999999,0.7
Unique High School,private_school,31.491713799999996,74.3096416,0.7
American Lycetuff School,private_school,31.487456699999996,74.30567209999998,0.7
The City School Model Town Junior,private_school,31.488042100000005,74.3060452,0.7
The Educators,private_school,31.485945100000002,74.3047677,0.7
Leads School System,private_school,31.483601300000004,74.2991286,0.7
American Lycetuff School,private_school,31.4723262,74.30213749999999,0.7
American Lyceum School System,private_school,31.465215299999993,74.3125044,0.7
The City School (Township Junior),private_school,31.462681199999995,74.3202922,0.7
Beaconhouse School System,private_school,31.460342800000003,74.32489680000002,0.7
The Right School,private_school,31.503576900000006,74.3322366,0.7
London School of Management & Technology,private_school,31.495528999999994,74.3356027,0.7
Dawn Model School,private_school,31.495931199999994,74.33542989999998,0.7
The Educators,private_school,31.4694252,74.3451168,0.7
skans abu bakar,private_school,31.5122971,74.3237318,0.7
Deen Schooling System,private_school,31.51645589999999,74.34825929999998,0.7
Unnamed private_school,private_school,31.5200864,74.2866889,0.7
American Lycetuff,private_school,31.518814799999998,74.2964914,0.7
American Lycetuff,private_school,31.5178888,74.2981463,0.7
Stars Academy,private_school,31.517754899999996,74.2904752,0.7
university of Education,private_school,31.4477802,74.29816249999999,0.7
Knowledge School,private_school,31.520534699999995,74.31466639999998,0.7
Cathedral School,private_school,31.563987199999993,74.31692419999999,0.7
Meridian's School System & Academy,private_school,31.484808299999997,74.4180534,0.7
St. Marys High School Gulberg,private_school,31.519469999999995,74.35352479999999,0.7
LGS Shalimar Branch,private_school,31.576618100000005,74.3813258,0.7
Convent of Jesus and Mary,private_school,31.561315399999998,74.34004489999998,0.7
Saint Anthony High School,private_school,31.480188000000005,74.30117889999998,0.7
Lahore Garission University,private_school,31.463778900000012,74.4431405,0.7
Host,private_school,31.5125266,74.3224881,0.7
حکومت وکٹوریہ گرلز ہائر سیکنڈری سکول,private_school,31.579374599999994,74.3113139,0.7
The Educators Al Rauf Campus,private_school,31.5313314,74.303295,0.7
Institute Of Quality And Technology Management,private_school,31.496503799999996,74.30078359999999,0.7
شہری ضلع اسکول,private_school,31.569543799999998,74.37411129999998,0.7
Al-Hadi Foundation School,private_school,31.586405400000007,74.40432189999999,0.7
The Readers School,private_school,31.5226451,74.28893279999998,0.7
NCBMS,private_school,31.5554728,74.34145449999998,0.7
Pak Model School,private_school,31.583795500000004,74.3434899,0.7
SKANS CA campus,private_school,31.4997588,74.3322323,0.7
Gov't Primary School Ahmedabad,private_school,31.483117899999993,74.2399246,0.7
GPS Tibba Pajian Raiwind Road,private_school,31.3086876,74.22634319999999,0.7
Naqsh School of Arts,private_school,31.58348609999999,74.30966679999999,0.7
TNS Beaconhouse Defence,private_school,31.463994099999997,74.39380250000002,0.7
Al Burhan,private_school,31.510618700000006,74.3527941,0.7
Al Burhan,private_school,31.509269999999987,74.3527512,0.7
Unnamed private_school,private_school,31.426743499999997,74.3863215,0.7
SKANS School of Accountancy ACCA Campus,private_school,31.495207600000004,74.3127024,0.7
American National School,private_school,31.5038266,74.35143599999999,0.7
"Leads School System, Formanites Campus",private_school,31.44322560000001,74.4084934,0.7
The Trust School,private_school,31.433665399999995,74.25561289999999,0.7
Inernational Grammar School,private_school,31.543977900000005,74.4214901,0.7
LACAS ALJT,private_school,31.4694972,74.2940988,0.7
Lecole Mondiale,private_school,31.46355899999999,74.2950748,0.7
Govt Primary School Manhala Kalan,private_school,31.532946700000004,74.54142259999999,0.7
Color's Up Montessori School,private_school,31.486155950022777,74.37739414999014,0.7
Mount Pleasant High School,private_school,31.487061919297577,74.37835166477447,0.7
Baeconhouse,private_school,31.53765826578565,74.42080072505036,0.7
Govt.Girl School,private_school,31.561233851167735,74.4333088080723,0.7
Govt. Boys School,private_school,31.562376815272746,74.43321086299034,0.7
Zahid Model High School,private_school,31.562251444474978,74.43313305553556,0.7
Allamgir School,private_school,31.55807985256187,74.43415679437523,0.7
Govt. Pirmary School,private_school,31.56064047882845,74.42570929151788,0.7
Unnamed private_school,private_school,31.499002583323573,74.39579619129738,0.7
Punjab School Education Department,private_school,31.565361850165985,74.30081144999949,0.7
Crescent Model Higher Secondary School (Boys Campus)1,private_school,31.53988847785331,74.32317113552216,0.7
Oriental College - Punjab University,private_school,31.57193276376601,74.31030598377572,0.7
گورنمنٹ پائلٹ سیکنڈری سکول برائے طلبہ,private_school,31.511939660805478,74.3021467748715,0.7
گورنمنٹ گریجویٹ کالج آف سائنس,private_school,31.509745255581006,74.29437502984707,0.7
حکومتی پرائمری اسکول,private_school,31.434858500905786,74.29329270226789,0.7
Siqarah Boys High School,private_school,31.43817436789961,74.28995021107124,0.7
Siqarah Girls High School,private_school,31.438898687047885,74.28887753098049,0.7
Lahore School of Economics,private_school,31.502503270494014,74.47457920160758,0.7
Unnamed private_school,private_school,31.492341093250126,74.24667732964802,0.7
Rosans Islamic School,private_school,31.532575445911096,74.45196018266901,0.7
City District Govt Boys High School,private_school,31.579000723090033,74.3000839887419,0.7
اسلامیہ ہائی سکول,private_school,31.581879272109973,74.30316511224096,0.7
MCL Boys High School QLS,private_school,31.59602053060314,74.30762476961117,0.7
GHS Watan Islamia,private_school,31.575348767344423,74.32637442722991,0.7
Government College of Technology,private_school,31.577482702480008,74.33286138266104,0.7
Goverment Central Model High School,private_school,31.576356959271404,74.30599761138318,0.7
Government High School - Said Mittha Bazar,private_school,31.58398029392731,74.31247559337385,0.7
Government High School Baghbanpura Lahore,private_school,31.584580765547546,74.37997001556316,0.7
Municipal Corporation Primary & High School For Boys & Girls,private_school,31.55265584847378,74.36747817409118,0.7
Lady Griffin High School,private_school,31.570434530675072,74.34191018430619,0.7
Government Degree College for Women,private_school,31.550974033791764,74.31781284913045,0.7
YWCA High School,private_school,31.556494206144745,74.32098057702726,0.7
Fatima Girls High School,private_school,31.560358544204604,74.3136657161565,0.7
Women's Vocational High School,private_school,31.560662762686313,74.30948173426589,0.7
Mian Iqbal Hussain High School,private_school,31.561569495814314,74.34953373308821,0.7
Islamia Girls School,private_school,31.56432581884089,74.32565689188183,0.7
Saint Andrew's School,private_school,31.57756963404635,74.34501243012261,0.7
لیڈی میکلیگن اسکول,private_school,31.56355816304606,74.30625902540896,0.7
Islamia High School,private_school,31.57146210164858,74.30457224460186,0.7
Central model school,private_school,31.57498931628847,74.30277075451158,0.7
Central model school,private_school,31.574772233440275,74.30290132855595,0.7
Central model school,private_school,31.574547014719617,74.30301962268021,0.7
Central model school,private_school,31.57472354738231,74.30230955468816,0.7
Central model school,private_school,31.57436261916894,74.30202974142695,0.7
Central model school,private_school,31.574227125763482,74.30230183042411,0.7
Central model school,private_school,31.57413622913362,74.30285498999874,0.7
Central model school,private_school,31.574351764983334,74.30291987276155,0.7
Central model school,private_school,31.574476960475554,74.30276313585274,0.7
Central model school,private_school,31.574610828718438,74.30264959666472,0.7
Central model school,private_school,31.573968298965763,74.30208321259468,0.7
Convent of Jesus and Mary,private_school,31.56105752556289,74.340834071004,0.7
Take Wala School,private_school,31.586426063761575,74.33600159170008,0.7
Chiragh Girls School,private_school,31.583007188548144,74.36251754064146,0.7
Girls High School,private_school,31.58265628641915,74.36643519799388,0.7
Girls Shalimar HIgh School2,private_school,31.588570796754496,74.39490171432946,0.7
CDG Girls Middle School,private_school,31.523276734636887,74.28633713324581,0.7
SCIL School Barki Road Branch,private_school,31.507736350057876,74.46958543873716,0.7
Muslim Model High School,private_school,31.54462967586347,74.37633494805854,0.7
Special Education School,private_school,31.558886510119297,74.39960256628551,0.7
Govt School Tajpura,private_school,31.556887209213404,74.40265469196524,0.7
