name,lat,lon,layer
Secretariat,31.566304508724492,74.30081685972617,parking
Unnamed parking,31.568556675199225,74.30064072866725,parking
Noorbakhshia Mosque,31.559222354572217,74.33067500938724,parking
کشمیر روڈ,31.558731893078882,74.3316222239237,parking
Naz and Nagina Cinemas,31.567786519824566,74.32056483878301,parking
نیشنل بینک آف پاکستان,31.566492587946453,74.3126936614846,parking
Unnamed parking,31.55788026837825,74.32519166204239,parking
Unnamed parking,31.58364201627252,74.37711291745829,parking
District Courts,31.57491138555816,74.30486982175863,parking
Tomb of Nadira Begum,31.549336740706522,74.36179535847177,parking
Unnamed parking,31.47520034904226,74.4023314697482,parking
Unnamed parking,31.525949948106714,74.45333090466058,parking
Unnamed parking,31.582689785197672,74.48724918854953,parking
Unnamed parking,31.58363202601347,74.31532910282611,parking
Unnamed parking,31.58504181615973,74.32509740607814,parking
Unnamed parking,31.562845765453904,74.33473789746711,parking
Unnamed parking,31.562379951770996,74.33290725441844,parking
Unnamed parking,31.563574079094675,74.33289033538979,parking
Unnamed parking,31.562068883574952,74.3320844646957,parking
Unnamed parking,31.56202739062598,74.33181819945341,parking
Unnamed parking,31.56410882711152,74.33299723041047,parking
Unnamed parking,31.575967514206347,74.33637346977474,parking
Unnamed parking,31.577361695650524,74.3355340380735,parking
Unnamed parking,31.520599284115885,74.41230682350036,parking
Unnamed parking,31.522478692411983,74.38973271415928,parking
Unnamed parking,31.505342070080058,74.33059964454239,parking
Unnamed parking,31.578074969083787,74.35720419170248,parking
Unnamed parking,31.448226924752532,74.27071414413324,parking
Unnamed parking,31.484777490909185,74.29646700197313,parking
Unnamed parking,31.483596876764167,74.29774732561542,parking
Unnamed parking,31.484817955376457,74.29847686954149,parking
Unnamed parking,31.54074376988354,74.3330662685873,parking
Unnamed parking,31.53856203178152,74.33502981495458,parking
Unnamed parking,31.519818043286037,74.35233736402215,parking
Unnamed parking,31.606009400051416,74.30104273333333,parking
Unnamed parking,31.428005299472897,74.21021361447455,parking
Unnamed parking,31.622583201293644,74.30586965566505,parking
Unnamed parking,31.51411824715617,74.41314507397028,parking
Unnamed parking,31.56596398983669,74.31425838482872,parking
Unnamed parking,31.463337933790356,74.38445593333333,parking
Unnamed parking,31.53477411148275,74.36687524808154,parking
Unnamed parking,31.468119330449166,74.41020308955768,parking
Unnamed parking,31.486582230047553,74.29090971962135,parking
Unnamed parking,31.48773449673682,74.29124095440919,parking
