Latitude,Longitude,Population
31.517931,74.449312,6545
31.526706,74.463816,10063
31.525752,74.453533,15656
31.489512,74.463265,3150
31.497331,74.467486,904
31.482646,74.46932,10649
31.490465,74.473542,9574
31.512018,74.465651,2491
31.519838,74.469875,586
31.50515,74.471709,3077
31.564866,74.474656,196
31.579562,74.472821,11529
31.438933,74.007104,87
31.447755,74.021538,70
31.446765,74.01127,122
31.43308,74.023471,1741
31.432091,74.013205,2438
31.440911,74.027638,226
31.439923,74.017371,52
31.412553,74.041763,1622
31.411565,74.0315,1723
31.405711,74.047858,201
31.426237,74.02957,209
31.435055,74.044004,200
31.434068,74.033737,4235
31.420382,74.045931,34
31.419395,74.035667,719
31.428212,74.0501,234
31.427225,74.039835,2375
31.416429,74.004876,226
31.425249,74.019305,209
31.42426,74.00904,470
31.410577,74.021238,365
31.409588,74.010975,558
31.418407,74.025403,260
31.417418,74.015139,679
31.571151,74.067766,284
31.579975,74.082236,100
31.57899,74.071947,34
31.565282,74.084159,1338
31.564298,74.073872,1639
31.573121,74.088342,16
31.572136,74.078054,1539
31.603495,74.094789,1070
31.612318,74.10927,2
31.59762,74.111188,618
31.596638,74.100896,352
31.60546,74.115376,250
31.604478,74.105082,67
31.593685,74.07002,837
31.602511,74.084496,33
31.601526,74.074203,485
31.587815,74.086419,184
31.595654,74.090604,1004
31.59467,74.080312,1505
31.568231,74.115022,485
31.57705,74.129497,736
31.576069,74.119208,150
31.562357,74.13141,335
31.561376,74.121123,33
31.570193,74.135598,368
31.569212,74.12531,368
31.558428,74.090264,1
31.567249,74.104734,669
31.566266,74.094447,16
31.552558,74.106652,1037
31.551575,74.096367,100
31.560394,74.110836,1221
31.559412,74.10055,736
31.590763,74.117292,84
31.599583,74.131773,50
31.584887,74.133686,284
31.583906,74.123395,251
31.592725,74.137875,50
31.580959,74.092526,118
31.589781,74.107001,200
31.588798,74.09671,101
31.575087,74.108919,133
31.574104,74.098631,34
31.582925,74.113105,167
31.581942,74.102815,1790
31.632898,74.169136,1354
31.641714,74.183632,8229
31.640738,74.173333,4549
31.627012,74.185535,2960
31.626036,74.175237,151
31.634851,74.189733,9516
31.633875,74.179434,4031
31.649554,74.187831,6506
31.648578,74.177531,7827
31.629938,74.216427,8730
31.638748,74.230929,4549
31.637775,74.220629,4516
31.624047,74.23282,8111
31.623074,74.222523,8931
31.631883,74.237024,8178
31.630911,74.226725,8630
31.628963,74.20613,5570
31.627988,74.195832,501
31.614263,74.208026,820
31.613288,74.197731,100
31.6221,74.212226,2509
31.621126,74.20193,234
31.652479,74.218735,736
31.646586,74.235133,603
31.645614,74.224832,1170
31.654425,74.239338,168
31.653452,74.229036,317
31.642691,74.193932,7342
31.651505,74.208433,1840
31.65053,74.198132,1238
31.636802,74.21033,5552
31.635827,74.200032,5854
31.64464,74.214532,2977
31.643666,74.204232,6673
31.626034,74.097054,626
31.634859,74.11154,110
31.633876,74.101242,350
31.620158,74.113458,238
31.619176,74.103163,284
31.627017,74.107351,350
31.652505,74.140523,5134
31.651525,74.130222,1706
31.648579,74.099321,1031
31.642701,74.11573,184
31.641719,74.105431,331
31.650543,74.119922,179
31.623101,74.144347,863
31.63192,74.158838,4232
31.630941,74.14854,1990
