name,amenity,lat,lon
Sheesh Mahal,restaurant,31.6148564,74.2915401
Dory Bakers and Sweets,cafe,31.6233429,74.2943826
BBQ Take Away,restaurant,31.6235611,74.2956488
New Al-Fazal Dera Restaurent,restaurant,31.625174299999994,74.3011261
Arabian Shawarma,fast_food,31.61329509999999,74.2648769
Zauq Tonight Restaurant,restaurant,31.614467199999993,74.26976329999998
Al Khan Restaurant,restaurant,31.614863299999993,74.27149499999999
Siddique Fish Corner,restaurant,31.617612999999995,74.28562919999999
Ravi Chargha,restaurant,31.591739399999998,74.3059083
Grand Trunk Road گرینڈ ٹرنک روڈ,restaurant,31.5891194,74.3063064
Al Masoom Juice Corner,fast_food,31.589666499999993,74.30390389999998
Bola Chany Wala,fast_food,31.588010499999996,74.3053701
Rangeela Kukkar,fast_food,31.5876018,74.305795
Pizza Hot,fast_food,31.586921899999997,74.306323
Butt Resturant,restaurant,31.57986809999999,74.30576099999999
Hafiz Tea Stall,cafe,31.578153000000007,74.3029783
Chaudary Chargha House,restaurant,31.5816017,74.3026178
Ashoka Kabab Wala,restaurant,31.581321300000003,74.3031699
Qadri Charsi Tikka Dumba Karahi,restaurant,31.606129899999992,74.3065787
Shinwari Dumba karahi & Tikka,restaurant,31.606062,74.3072742
Ilyas Dumba Karahi,restaurant,31.6056521,74.3067734
Dumba Karahi - Truck Adda,restaurant,31.6054577,74.3069468
Jamshed Karahi,restaurant,31.605617399999993,74.30765819999999
Lasani Plaza,restaurant,31.605447100000003,74.30776259999999
Shinvari Hotel,restaurant,31.6055472,74.30578889999998
Ghani Shinwari,restaurant,31.605535800000006,74.3056173
Rajput Pakwan,restaurant,31.593001399999988,74.30664939999998
Sea Hawk Family Restaurant,restaurant,31.5739963,74.2959678
Goga Murgh Chanay,restaurant,31.482836699999993,74.3306515
Amjad Sweets & Restaurant,restaurant,31.482919000000003,74.33019259999999
Karachi Naseer Biryani,restaurant,31.482804599999987,74.330526
Al Qaim Restaurant,restaurant,31.4826,74.3303796
Fancy Sweets & Restaurant,restaurant,31.482636399999997,74.3307341
ڈنکن ڈونٹس,fast_food,31.482371200000003,74.3308248
Nafees Dahi Bhallay,restaurant,31.481870799999992,74.3301801
Senior Boys Café,cafe,31.4811248,74.32784080000002
Junior Boys Café,cafe,31.480974000000003,74.32742
Unnamed Dining_Spots,restaurant,31.488744499999992,74.3261277
Cafe Delice,cafe,31.4888267,74.32567089999999
Goshi,restaurant,31.488677899999992,74.32601949999999
Unnamed Dining_Spots,restaurant,31.4887613,74.3251721
Pizzario,restaurant,31.487960299999987,74.32588219999998
Unnamed Dining_Spots,restaurant,31.4883413,74.3263772
Ice Food,fast_food,31.488426799999992,74.32554039999998
Unnamed Dining_Spots,cafe,31.488071800000004,74.3259622
Arabic Shawarma,fast_food,31.48833249999999,74.32556109999999
Sholay Restaurant,restaurant,31.488209999999995,74.3259078
Lal Qila,restaurant,31.5013939,74.3231039
Subway - Garden Town,fast_food,31.501763499999996,74.32171349999999
Grill Hut,restaurant,31.5007103,74.3212604
Karachi Biryani,fast_food,31.500311999999994,74.3227186
Mei Kong,restaurant,31.50001629999999,74.322846
کینٹکی فرائیڈ چکن,fast_food,31.501220300000004,74.320004
Options - An Exotic,restaurant,31.500064600000005,74.3179831
سب وے,restaurant,31.4853165,74.3022642
Al Madina Restaurant,restaurant,31.48097640000001,74.2984415
Village Pizza,restaurant,31.474990599999998,74.3025145
Pizza Place,restaurant,31.474782299999998,74.30261
NFC,restaurant,31.469767700000002,74.3033902
The Galaxy Restaurant (Pizza and Fast Foods),restaurant,31.469962799999994,74.3032221
Haji Sahib Nihari Waley,restaurant,31.468680299999992,74.3037661
Nadeem's Buffet,restaurant,31.469257800000005,74.30420509999999
Bashir Darul Mahi,restaurant,31.468783800000008,74.3038875
Tosta,restaurant,31.466254899999992,74.3111034
Jinnah Islamia College for Girls,cafe,31.4629526,74.31956719999998
Coko Bell,restaurant,31.4986349,74.3342951
Bundu Khan Sweets,restaurant,31.491584,74.3371987
Shawarma Time Arabian Food,fast_food,31.4908543,74.33749809999999
Canal Resturant,restaurant,31.517832199999997,74.32669849999999
Gravity The Gaming Cafe,cafe,31.4890014,74.33830159999998
Chicken Kozi Haleem,fast_food,31.488408999999994,74.33854029999999
Alif Milk Waly,cafe,31.4873165,74.3389801
YASIR BROAST,restaurant,31.5107571,74.30055529999998
حویلی ریسٹورانٹ,restaurant,31.587012899999998,74.31142549999998
Unnamed Dining_Spots,fast_food,31.576379500000005,74.3130972
Shehanshahi Fast Food,fast_food,31.519435700000002,74.2870513
Gauchos Steak House,restaurant,31.5187787,74.3458421
مکڈونلڈز,fast_food,31.538718,74.3365229
Qabail restaurant,restaurant,31.47536760000001,74.27087209999999
Qabail Restaurant,restaurant,31.5128313,74.3517481
The Brasserie Lahore,restaurant,31.518692399999996,74.3457792
Rafeh's Cuisine,restaurant,31.466796699999996,74.3182801
Hot n Spicy,cafe,31.48176249999999,74.3966681
Pak Tea House,cafe,31.567361999999996,74.3127106
گلوریا جینز,cafe,31.540274399999998,74.4239131
Johnny Rockets,restaurant,31.508339600000003,74.35038659999998
Fat Burger,fast_food,31.5084105,74.3497294
Burger Hub,fast_food,31.508662,74.34989039999999
ڈومینوز,fast_food,31.508632799999994,74.3507135
Freddys Cafe,cafe,31.50928860000001,74.3500674
OPTP,fast_food,31.508661600000003,74.3505888
ہارڈیز,fast_food,31.50951729999999,74.3506655
Bombay Chowpatty,restaurant,31.510033600000003,74.35017430000002
Howdy,fast_food,31.510412899999988,74.3501918
Cafe Page 102,cafe,31.5102216,74.3507648
Salt and Pepper Village,restaurant,31.5104594,74.35084789999999
گاؤں,restaurant,31.510642299999994,74.350974
مکڈونلڈز,fast_food,31.511005899999997,74.3509445
Xi Wang,restaurant,31.5113009,74.35037579999998
پیزا ہٹ,restaurant,31.5130822,74.35139779999999
Al Madina food and Naan Shop,restaurant,31.480726999999995,74.4030818
Chatkhara360,restaurant,31.48364300000001,74.40986289999998
YAHOO CAFÉ,cafe,31.4868236,74.4126424
Haji Restaurant & Naan Shop,restaurant,31.4863278,74.4142401
Students Cafe,cafe,31.485570300000003,74.41639480000002
The Burger Joint,restaurant,31.4842764,74.4016917
کینٹکی فرائیڈ چکن,fast_food,31.514172900000002,74.35164989999998
Nisa Sultan,restaurant,31.513994600000004,74.35111609999998
Pomelo Avenue,restaurant,31.515080699999995,74.3512798
Smoothie Factory,restaurant,31.515144800000005,74.3518886
Chaaye Khana,restaurant,31.5154626,74.3519557
سب وے,fast_food,31.516258299999993,74.35158280000002
Tabaq Restaurant,restaurant,31.516528099999995,74.3524438
Cafe Aylanto,restaurant,31.5168757,74.3518081
Spice Bazzar,restaurant,31.51874739999999,74.35263959999999
Tuscany Courtyard Lahore,restaurant,31.51968949999999,74.3513522
Wings,fast_food,31.520264299999994,74.3516901
Café Zouk,restaurant,31.520364899999993,74.35166329999998
